Course,In-Degree Centrality (Importance),Betweenness Centrality (Chokepoint),Closeness Centrality (Efficiency),Eigenvector Centrality (Influence)
MATH140,0.0013831258644536654,0.001411499314396982,0.0024896265560165973,6.428306953285055e-12
MATH141,0.0013831258644536654,0.0013236350180753117,0.0024588904256954047,6.553110180963465e-11
MATH115,0.0027662517289073307,0.0011371729656576956,0.0027662517289073307,4.076487336229548e-13
MATH120,0.0027662517289073307,0.00030176324069497706,0.003112033195020747,6.628995560607124e-12
MATH241,0.0013831258644536654,0.0002930955181504025,0.0024698676150958308,4.85472012631066e-10
MATH246,0.0013831258644536654,0.00029246104923395984,0.0024698676150958308,4.85472012631066e-10
CMSC216,0.0027662517289073307,0.00028036310119274683,0.00398665690342527,9.740484271566456e-10
CMSC351,0.0027662517289073307,0.00027216592227339225,0.004481327800829875,8.39144918162852e-09
CHEM241,0.004149377593360996,0.00027011183779496786,0.008214929376755104,7.86026594861657e-08
CMSC330,0.0027662517289073307,0.00025558064431180827,0.004481327800829875,8.39144918162852e-09
CHEM242,0.004149377593360996,0.00024329222269475826,0.008214929376755104,7.86026594861657e-08
MATH240,0.0027662517289073307,0.0002335769539594783,0.003319502074688797,4.856727012383881e-10
STAT100,0.005532503457814661,0.00022672609309544513,0.005763024435223606,7.030372775251265e-12
PHYS260,0.0027662517289073307,0.00022017626872743477,0.003319502074688797,3.27128074302055e-09
CHEM231,0.009681881051175657,0.00021176853224760716,0.008808327873625973,5.0780301025893166e-09
CMSC132,0.0027662517289073307,0.0001810608214557594,0.003457814661134163,6.573179041695675e-11
CMSC250,0.0027662517289073307,0.00018097298990622053,0.003319502074688797,4.856727012383881e-10
PHYS273,0.006915629322268327,0.00016078997814839932,0.007113218731475993,3.97072005010753e-08
CHEM135,0.0013831258644536654,0.00015901264651279018,0.0027662517289073307,6.864177522312677e-11
CHEM232,0.008298755186721992,0.00014165439562848788,0.007684032580298141,5.077829413981993e-09
